國民所得統計常用資料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"期中
人口",平均匯率,"經濟
成長","名目國內生產
毛額(GDP)",,,,"名目國民所得
毛額(GNI)",,,,"名目國民所得
(NI)",,,,,,,,,,,,,,,,,,,,,
,,,,,,"平均每人
GDP",,,,"平均每人
GNI",,,,"平均每人
所　得",,,,,,,,,,,,,,,,,,,
,人,元/美元,％,百萬元,百萬美元,元,美元,百萬元,百萬美元,元,美元,百萬元,百萬美元,元,美元,,,,,,,,,,,,,,,,,,
  Ⅱ,"12,830,290",40.00,9.84,"31,381",785,"2,447",61,"31,364",784,"2,446",61,"29,714",743,"2,317",58,,,,,,,,,,,,,,,,,,
  Ⅲ,"12,918,016",40.00,13.30,"30,925",773,"2,395",60,"30,903",773,"2,393",60,"29,089",727,"2,253",56,,,,,,,,,,,,,,,,,,
  Ⅳ,"13,005,742",40.00,9.01,"35,567",889,"2,735",68,"35,520",888,"2,731",68,"33,632",841,"2,586",65,,,,,,,,,,,,,,,,,,
56年,"13,210,344",40.00,11.15,"148,360","3,709","11,231",281,"148,037","3,701","11,206",280,"139,680","3,492","10,574",264,,,,,,,,,,,,,,,,,,
  Ⅰ,"13,089,790",40.00,12.30,"35,265",882,"2,695",67,"35,197",880,"2,690",67,"33,297",832,"2,545",64,,,,,,,,,,,,,,,,,,
  Ⅱ,"13,170,160",40.00,10.49,"35,665",892,"2,709",68,"35,582",890,"2,703",68,"33,552",839,"2,549",64,,,,,,,,,,,,,,,,,,
  Ⅲ,"13,250,529",40.00,8.95,"36,030",901,"2,720",68,"35,950",899,"2,714",68,"33,784",845,"2,551",64,,,,,,,,,,,,,,,,,,
  Ⅳ,"13,330,899",40.00,12.68,"41,400","1,034","3,107",78,"41,308","1,032","3,099",77,"39,047",976,"2,929",72,,,,,,,,,,,,,,,,,,
57年,"13,548,537",40.00,9.71,"173,026","4,326","12,771",319,"172,568","4,314","12,737",318,"162,303","4,058","11,979",299,,,,,,,,,,,,,,,,,,
  Ⅰ,"13,415,447",40.00,8.44,"39,995","1,000","2,983",75,"39,910",998,"2,976",74,"37,582",940,"2,802",70,,,,,,,,,,,,,,,,,,
  Ⅱ,"13,504,174",40.00,9.02,"41,599","1,040","3,082",77,"41,539","1,038","3,077",77,"39,079",977,"2,895",72,,,,,,,,,,,,,,,,,,
  Ⅲ,"13,592,901",40.00,12.88,"43,049","1,076","3,169",79,"42,949","1,074","3,161",79,"40,271","1,007","2,964",74,,,,,,,,,,,,,,,,,,
  Ⅳ,"13,681,628",40.00,8.72,"48,383","1,210","3,537",88,"48,170","1,204","3,523",88,"45,371","1,134","3,318",83,,,,,,,,,,,,,,,,,,
58年,"14,068,984",40.00,9.59,"200,707","5,018","14,266",357,"200,460","5,012","14,248",356,"187,720","4,693","13,343",334,,,,,,,,,,,,,,,,,,
  Ⅰ,"13,811,739",40.00,11.56,"47,921","1,198","3,472",87,"47,847","1,196","3,465",87,"44,910","1,123","3,253",81,,,,,,,,,,,,,,,,,,
  Ⅱ,"13,983,236",40.00,9.98,"48,737","1,218","3,487",87,"48,665","1,217","3,481",87,"45,563","1,139","3,259",81,,,,,,,,,,,,,,,,,,
  Ⅲ,"14,154,732",40.00,9.90,"49,360","1,234","3,489",87,"49,325","1,233","3,486",87,"46,062","1,152","3,255",81,,,,,,,,,,,,,,,,,,
