"幣別	按美元計算/ <b>總計</b>	按美元計算/ 動物產品	按美元計算/ 2.植物產品	按美元計算/ (1)食用蔬菜	按美元計算/ (2)食用果實及堅果	按美元計算/ 3.動植物油脂	按美元計算/ (1)調製食品	按美元計算/ (3)菸及菸葉代用品	按美元計算/ (1)有機化學品	按美元計算/ 7.塑膠、橡膠及其製品	按美元計算/ (1)塑膠原料	按美元計算/ (2)塑膠製品	按美元計算/ 8.毛皮及其製品	按美元計算/ 9.木及木製品	按美元計算/ 紙及其製品；印刷品	按美元計算/ 11.紡織品	按美元計算/ 13.非金屬礦物製品	按美元計算/ 14.珠寶及貴金屬製品	按美元計算/ 15.基本金屬及其製品	按美元計算/ (1)鋼鐵及其製品	按美元計算/ (2)其他基本金屬及其製品	按美元計算/ (1)電子零組件	按美元計算/ (2)機械	按美元計算/ (4)資通與視聽產品",,,,,,,,,,,,,,,,,
"93年 5月	""16","536.55""	123.812	33.267	13.294	4.878	5.171	41.324	2.67	388.179	""1","112.15""	598.405	372.969	107.209	27.692	119.981	""1","241.04""	105.963	18.352	""1","581.14""	""1","011.42""	569.724	""3","316.80""	""1","400.28""	""2","768.00""",,,,,,,,,
"93年 6月	""15","299.78""	117.875	27.422	8.059	6.442	4.424	31.67	1.897	340.072	""1","063.41""	581.119	348.457	90.005	27.757	99.124	""1","151.45""	100.355	18.806	""1","541.64""	994.266	547.373	""2","981.82""	""1","331.04""	""2","472.04""",,,,,,,,,,
"93年 7月	""15","456.06""	130.554	28.163	7.195	5.413	4.196	34.839	1.228	334.753	""1","043.85""	569.46	341.147	82.626	28.335	106.654	""1","101.18""	106.407	17.73	""1","580.84""	""1","034.15""	546.692	""3","211.65""	""1","303.72""	""2","423.68""",,,,,,,,,
"93年 8月	""15","542.45""	145.813	22.98	6.301	2.717	4.708	29.237	0.344	394.907	""1","132.23""	639.003	348.327	74.796	31.753	97.582	""1","034.00""	109.827	16.359	""1","650.70""	""1","082.64""	568.06	""3","233.30""	""1","307.31""	""2","404.54""",,,,,,,,,
"93年 9月	""15","767.66""	178.325	19.26	3.937	1.95	4.357	29.303	0.62	394.919	""1","086.92""	620.796	340.555	79.717	27.856	103.286	""1","032.94""	111.846	19.186	""1","601.98""	""1","060.00""	541.985	""3","411.57""	""1","292.91""	""2","585.11""",,,,,,,,,
"93年 10月	""16","230.54""	134.111	19.751	3.959	1.402	4.873	36.89	0.951	385.383	""1","181.35""	691.157	355.747	83.145	26.976	111.672	""1","066.63""	116.697	23.988	""1","666.08""	""1","082.65""	583.433	""3","501.91""	""1","339.47""	""2","669.12""",,,,,,,,,
"93年 11月	""16","393.76""	125.742	20.009	4.329	1.853	3.909	35.173	2.004	390.975	""1","145.63""	635.308	368.05	85.737	28.993	104.943	""1","022.33""	108.256	21.597	""1","679.22""	""1","117.53""	561.689	""3","357.40""	""1","342.07""	""3","031.97""",,,,,,,,,
"93年 12月	""15","707.47""	156.888	20.972	4.527	2.074	4.193	35.202	2.411	354.322	""1","096.52""	593.895	361.728	79.031	27.366	104.963	979.07	108.541	19.807	""1","734.63""	""1","147.06""	587.574	""3","028.35""	""1","354.74""	""2","827.73""",,,,,,,,,,
"94年 1月	""16","210.37""	141.583	25.553	5.858	2.181	4.638	33.942	4.236	540.61	""1","199.08""	687.591	361.654	65.522	26.494	109.654	932.337	113.303	24.11	""1","810.00""	""1","224.76""	585.237	""3","251.70""	""1","353.33""	""2","511.87""",,,,,,,,,,
"94年 2月	""12","301.24""	117.205	15.338	4.16	1.046	3.182	22.065	2.477	416.102	925.782	547.944	269.314	44.816	18.042	79.693	707.628	78.561	15.528	""1","371.65""	960.884	410.767	""2","429.61""	970.75	""1","956.53""",,,,,,,,,,,,,
"94年 3月	""16","615.11""	109.264	25.305	9.037	2.152	4.797	34.557	2.273	460.297	""1","362.14""	809.644	389.04	96.808	27.295	119.147	""1","073.58""	101.376	17.215	""1","920.96""	""1","307.94""	613.021	""3","020.43""	""1","344.93""	""2","657.10""",,,,,,,,,
"94年 4月	""16","474.64""	141.688	24.815	8.517	4.022	4.476	31.873	1.067	452.887	""1","205.20""	669.639	381.002	93.079	24.758	112.456	""1","074.51""	98.984	19.121	""1","823.02""	""1","214.85""	608.174	""3","207.13""	""1","341.99""	""2","441.80""",,,,,,,,,
"94年 5月	""17","234.80""	140.252	30.002	10.087	4.872	4.903	40.828	2.46	530.081	""1","268.46""	694.496	400.767	106.264	28.32	120.602	""1","134.01""	116.126	21.893	""1","956.69""	""1","306.34""	650.349	""3","085.13""	""1","458.54""	""2","539.72""",,,,,,,,,
"94年 6月	""15","652.41""	134.682	26.125	7.113	5.648	3.83	32.443	3.407	468.223	""1","265.13""	729.913	372.067	87.815	24.25	109.169	""1","041.80""	106.542	21.449	""1","662.05""	""1","080.34""	581.71	""2","987.81""	""1","309.77""	""2","286.13""",,,,,,,,,
"94年 7月	""16","277.18""	120.818	28.318	7.78	4.994	4.083	29.11	2.641	515.506	""1","230.25""	705.235	368.951	80.521	23.043	106.677	984.424	100.737	23.941	""1","620.76""	""1","014.44""	606.315	""3","389.77""	""1","300.18""	""2","472.31""",,,,,,,,,,
"94年 8月	""16","700.89""	110.886	20.329	5.68	1.179	3.369	31.134	1.72	431.54	""1","255.19""	704.852	387.853	73.536	24.736	104.937	990.682	102.899	19.1	""1","669.82""	""1","045.84""	623.979	""3","530.07""	""1","364.41""	""2","498.40""",,,,,,,,,,
"94年 9月	""17","129.83""	124.822	21.76	4.351	1.626	3.5	30.68	1.715	461.003	""1","228.93""	688.858	381.912	71.583	24.361	105.798	968.047	100.289	31.395	""1","593.83""	995.07	598.763	""3","861.95""	""1","237.84""	""2","498.11""",,,,,,,,,,,
"94年 10月	""18","901.55""	113.447	17.532	3.386	0.858	4.378	34.646	2.684	434.781	""1","293.77""	718.947	407.086	87.941	26.495	113.306	""1","032.88""	122.504	30.945	""1","770.04""	""1","077.46""	692.575	""4","277.18""	""1","363.51""	""2","763.40""",,,,,,,,,
"94年 11月	""18","157.04""	113.672	19.327	3.804	1.196	4.224	34.705	3.38	462.446	""1","220.10""	686.054	386.52	82.796	25.992	108.45	953.079	111.94	40.336	""1","672.24""	""1","035.69""	636.557	""4","087.59""	""1","314.50""	""2","755.91""",,,,,,,,,,
"94年 12月	""18","097.52""	260.916	23.266	4.428	2.246	3.622	36.58	3.727	504.165	""1","284.16""	758.515	372.118	74.609	23.742	102.881	941.188	99.926	47.469	""1","596.38""	962.816	633.562	""4","104.79""	""1","376.15""	""2","593.67""",,,,,,,,,,,
"95年 1月	""16","970.90""	111.902	20.523	3.33	2.27	3.839	27.318	3.561	387.387	""1","143.68""	628.314	366.731	55.57	22.127	93.277	856.066	95.878	58.451	""1","653.25""	""1","012.69""	640.553	""3","806.11""	""1","269.52""	""2","357.50""",,,,,,,,,,
"95年 2月	""15","552.21""	98.197	17.66	4.75	1.248	3.224	27.492	1.683	498.606	""1","131.41""	670.58	315.946	53.154	18.13	90.09	798.521	97.283	61.918	""1","497.52""	934.516	562.999	""3","487.79""	""1","052.29""	""1","999.14""",,,,,,,,,,,
"95年 3月	""18","055.40""	96.563	27.473	7.08	2.583	3.826	35.012	3.526	447.397	""1","298.96""	729.842	399.012	89.727	23.83	112.652	""1","016.68""	109.543	63.015	""1","792.16""	""1","077.64""	714.519	""4","199.16""	""1","390.91""	""2","504.10""",,,,,,,,,
"95年 4月	""18","963.73""	95.759	29.988	10.394	5.479	4.49	33.757	2.813	484.403	""1","360.21""	778.282	407.684	97.966	24.856	114.033	""1","071.06""	111.788	52.7	""1","862.81""	""1","134.07""	728.733	""4","306.81""	""1","403.25""	""2","490.93""",,,,,,,,,
"95年 5月	""19","077.43""	106.187	33.591	9.384	6.577	3.627	36.31	2.839	555.776	""1","438.12""	836.102	414.332	98.093	26.086	120.671	""1","115.81""	115.738	65.927	""2","044.54""	""1","240.49""	804.049	""4","169.81""	""1","473.20""	""2","452.33""",,,,,,,,,
"95年 6月	""18","262.54""	114.882	26.171	6.294	5.13	3.483	36.062	2.989	517.449	""1","284.85""	745.713	372.29	85.259	24.959	117.635	""1","034.40""	115.853	82.931	""1","868.98""	""1","107.52""	761.456	""4","155.75""	""1","363.91""	""2","329.55""",,,,,,,,,
"95年 7月	""19","736.57""	129.96	30.153	7.601	5.242	3.917	34.355	3.224	541.009	""1","376.84""	796.709	402.254	79.171	27.285	118.741	""1","029.70""	133.939	81.409	""2","131.28""	""1","305.31""	825.962	""4","614.88""	""1","474.18""	""2","575.98""",,,,,,,,,
"95年 8月	""19","502.04""	144.841	25.623	5.924	1.8	4.104	31.681	3.395	468.724	""1","428.63""	846.226	409.885	74.634	26.876	119.366	975.58	127.826	104.956	""2","189.36""	""1","368.12""	821.24	""4","622.56""	""1","495.80""	""2","504.31""",,,,,,,,,,
"95年 9月	""20","266.44""	142.836	21.367	4.188	2.117	4.909	29.621	2.829	561.854	""1","305.43""	732.835	410.584	69.8	26.001	119.092	986.316	129.127	71.231	""2","227.94""	""1","361.27""	866.672	""5","008.46""	""1","397.56""	""2","579.36""",,,,,,,,,,
"95年 10月	""20","002.07""	105.192	22.089	3.41	1.779	4.774	29.827	4.513	384.969	""1","343.22""	764.492	415.303	80.139	24.891	119.673	991.404	131.725	74.343	""2","358.72""	""1","487.34""	871.382	""4","859.99""	""1","429.04""	""2","651.77""",,,,,,,,,,
"95年 11月	""19","696.99""	117.076	21.294	3.672	2.026	4.152	31.665	3.419	593.781	""1","393.92""	830.027	411.052	81.743	26.05	115.757	945.397	119.382	73.396	""2","195.02""	""1","337.61""	857.409	""4","594.94""	""1","394.22""	""2","713.37""",,,,,,,,,,
"95年 12月	""19","817.88""	94.55	19.863	3.612	2.077	5.775	32.899	5.359	556.283	""1","425.76""	857.311	404.592	78.754	23.259	122.989	964.992	117.234	83	""2","213.76""	""1","367.21""	846.543	""4","637.81""	""1","440.08""	""2","715.88""",,,,,,,,,,
"96年 1月	""20","007.77""	103.846	29.327	4.888	2.416	5.944	35.462	3.267	624.075	""1","486.36""	896.19	412.792	69.59	22.862	115.583	919.75	111.421	100.442	""2","471.39""	""1","543.54""	927.851	""4","393.28""	""1","448.60""	""2","447.58""",,,,,,,,,,
"96年 2月	""15","029.08""	86.15	17.082	3.747	2.529	3.753	26.065	1.95	419.304	""1","067.43""	614.876	314.495	49.465	17.224	87.968	696.982	80.202	96.549	""1","794.81""	""1","180.32""	614.486	""3","345.00""	""1","062.43""	""2","035.63""",,,,,,,,,,
"96年 3月	""19","927.91""	95.879	30.082	6.806	4.837	5.189	33.171	2.405	641.41	""1","566.85""	961.817	420.922	91.239	21.426	130.574	""1","031.75""	120.103	83.059	""2","366.80""	""1","529.34""	837.459	""4","717.46""	""1","377.57""	""2","501.67""",,,,,,,,,
"96年 4月	""19","986.48""	86.601	29.163	6.949	4.703	5.485	41.892	4.443	658.221	""1","563.78""	949.66	431.771	95.833	23.625	131.417	""1","036.64""	122.164	115.232	""2","370.69""	""1","531.81""	838.878	""4","477.00""	""1","480.67""	""2","320.25""",,,,,,,,,
"96年 5月	""19","726.08""	104.424	32.298	7.469	5.105	4.645	36.917	4.045	694.526	""1","671.59""	""1","004.33""	457.202	105.29	25.04	138.785	""1","080.14""	118.385	86.695	""2","475.04""	""1","571.22""	903.82	""4","124.91""	""1","513.32""	""2","188.83""",,,,,,,,
"96年 6月	""20","262.37""	118.583	34.179	6.389	6.927	5.023	37.304	4.215	668.422	""1","589.76""	954.843	443.278	84.344	25.521	131.411	""1","007.61""	124.284	55.4	""2","424.02""	""1","551.49""	872.524	""4","410.08""	""1","388.76""	""2","256.79""",,,,,,,,,
"96年 7月	""21","407.20""	124.56	35.277	6.607	8.142	6.65	40.603	3.239	683.454	""1","671.73""	""1","000.25""	471.881	81.677	24.288	140.733	""1","017.86""	129.915	90.714	""2","408.65""	""1","480.92""	927.727	""4","796.02""	""1","586.76""	""2","451.40""",,,,,,,,
"96年 8月	""21","428.16""	117.628	20.403	4.727	2.275	5.327	35.616	1.636	824.142	""1","631.86""	984.082	459.909	68.043	22.693	137.27	916.838	128.847	64.401	""2","242.40""	""1","361.23""	881.179	""4","987.98""	""1","497.08""	""2","210.05""",,,,,,,,,,
"96年 9月	""22","342.66""	102.28	26.061	3.412	2.224	5.995	39.191	3.77	926.456	""1","641.77""	993.962	462.387	79.095	21.732	129.525	960.559	130.643	124.187	""2","258.29""	""1","358.25""	900.034	""5","333.57""	""1","517.62""	""2","401.27""",,,,,,,,,,
"96年 10月	""22","876.55""	121.277	24.418	2.595	1.73	5.636	38.399	4.314	867.628	""1","712.69""	""1","035.00""	486.785	86.867	26.759	137.487	999.338	130.653	133.623	""2","376.86""	""1","423.69""	953.165	""5","080.85""	""1","476.45""	""2","698.63""",,,,,,,,,
"96年 11月	""22","035.98""	108.374	21.585	2.81	1.462	6.095	40.818	1.672	925.357	""1","651.12""	""1","019.15""	452.511	86.979	23.123	135.872	948.624	123.778	178.76	""2","146.62""	""1","260.06""	886.552	""4","872.89""	""1","471.22""	""2","607.93""",,,,,,,,,
"96年 12月	""23","639.75""	157.076	24.467	4.164	1.873	7.695	49.176	5.376	""1","091.41""	""1","696.80""	""1","001.20""	488.577	84.324	27.855	135.909	993.831	143.32	145.947	""2","507.97""	""1","584.94""	923.03	""4","803.21""	""1","704.59""	""2","627.61""",,,,,,,,
"97年 1月	""22","292.69""	135.349	26.316	3.73	2.957	7.706	47.038	2.361	955.545	""1","685.59""	""1","040.77""	453.77	64.344	21.277	123.22	870.569	137.147	324.301	""2","437.66""	""1","506.24""	931.419	""4","633.73""	""1","515.68""	""2","206.73""",,,,,,,,,
"97年 2月	""17","784.44""	104.74	18.874	4.032	1.118	6.216	30.099	0.935	965.565	""1","370.59""	857.29	357.026	55.466	15.595	103.428	697.477	104.263	179.318	""1","838.53""	""1","196.23""	642.299	""3","823.28""	""1","116.82""	""1","773.78""",,,,,,,,,,
"97年 3月	""24","441.81""	122.639	32.907	10.355	2.922	9.709	55.968	4.624	""1","189.61""	""1","934.17""	""1","182.34""	526.538	99.651	25.253	151.532	""1","084.86""	150.159	232.643	""2","651.49""	""1","674.76""	976.733	""5","088.73""	""1","672.13""	""2","293.66""",,,,,,,
